dashboard,kpi,columns,calculation,why,threshold_source
Driver Behaviour,Overspeed minutes / 100 km,"Telemetry.Speed_kmph, Trips.Distance_KM","Moving minute (speed ≥ 5.0 km/h) with speed > fleet moving P95 = 42.40 km/h. Count / trip km × 100, then mean across the driver's 15 trips.",High speed is the only directly interpretable collision-energy signal in this workbook.,"Empirical P95 of moving telemetry this week, not a legal speed limit."
Driver Behaviour,Harsh horizontal IMU / 100 km,"Telemetry.Accel_X_g, Accel_Y_g",sqrt(X²+Y²) > moving P95 = 0.4601 g. Z is dominated by gravity (~1 g) so X/Y capture phone-plane jerks.,Proxy for aggressive start/stop or swerve when 1-minute speed deltas are too smoothed.,Empirical P95 of moving minutes.
Driver Behaviour,Yaw events / 100 km,Telemetry.Gyro_Z_dps,|Gyro_Z| > moving P95 = 5.01 deg/s. Z has the heavy tail in this dataset (P99 ≫ P95).,Yaw-rate spikes indicate abrupt heading change / unstable riding on a two-wheeler.,Empirical P95 of |Gyro_Z| on moving minutes.
Driver Behaviour,Mean trip max speed,Trips.Max_Speed_kmph,Average of Max_Speed_kmph across the driver's trips.,Captures peak speeding even if it lasts under a full overspeed-minute share.,No hard cap; ranked vs the other 29 drivers.
Driver Behaviour,Driver risk score (0-100),Percentile ranks of the four KPIs above,0.30×overspeed rank + 0.25×harsh IMU rank + 0.25×yaw rank + 0.20×max-speed rank. Rank = average percentile within the 30 drivers.,Equal-ish weights with a slight emphasis on overspeed; ranks avoid arbitrary 0-1 scaling.,Safe/Moderate/Risky = tertiles of this week's scores (cut 37.0 / 64.3).
Vehicle Health,Days since last service,Vehicles.Last_Service_Date vs last trip date,"(week_end − Last_Service_Date) in days, then fleet percentile rank.",Workbook has no prescribed service interval; lateness is relative to this fleet.,"Relative rank, not a 90-day OEM rule."
Vehicle Health,Odometer (week start),Vehicles.Odometer_KM_Start_of_Week,Percentile rank of odometer.,Wear accumulates with distance; this is the only mileage field.,Fleet rank.
Vehicle Health,Vehicle age (years),Vehicles.Manufacture_Year,"week_end.year − Manufacture_Year, then rank.",Older two-wheelers typically need more mechanical attention.,Fleet rank. Not a retirement age.
Vehicle Health,Cruise gyro magnitude,Telemetry Gyro_X/Y/Z_dps at 15-35 km/h,"Median sqrt(X^2+Y^2+Z^2) on cruise minutes, then fleet percentile rank. Median is used because gyro has a heavy tail.",Persistent rotational shake at steady speed is a mechanical-instability clue.,Fleet rank of cruise-only minutes.
Vehicle Health,Cruise vibration |a|−1g,Telemetry Accel_X/Y/Z at 15–35 km/h,"Mean |accel_mag − 1 g| on cruise minutes (15.0-35.0 km/h), then rank. Cruise band reduces stop-go rider style vs mechanical shake.",Persistent vibration at steady speed is a maintenance clue (engine/wheel/suspension).,Fleet rank of cruise-only minutes.
Vehicle Health,Vertical bump rate / 100 km,"Telemetry.Accel_Z_g, Trips.Distance_KM","|Accel_Z − 1| > moving P95 = 0.0870 g, exposure-adjusted.","Z-axis spikes beyond gravity suggest potholes or worn suspension, not just throttle.",Empirical P95 of |Z−1|.
Vehicle Health,Health score / maintenance risk,Weighted percentile ranks listed above,maintenance_risk = 0.22 service + 0.18 odo + 0.12 age + 0.22 vibration + 0.12 cruise gyro + 0.14 bumps. health_score = 100 − risk.,Mixes workshop metadata (independent of rider) with speed-controlled IMU.,Healthy / Needs Attention / Maintenance Required = tertiles (cut 36.0 / 65.4).
